HardDriveGB,RAMGB,Brand,PriceUSD
1024,8,KUU,363.54
128,8,CARBAYTA,271.71
256,8,MaiBenBen,379.26
128,8,KUU,255.89
512,16,BSLAY,590.39
256,8,Teclast,510
128,8,Pipo,270.465
256,8,CHUANCHI,511.34
512,8,DeeQ,319.99
1024,8,BSLAY,628.84
512,8,KUU,1014
512,16,XIDU,1484
256,8,XIDU,364.99
256,8,Pipo,401.8
256,8,XIDU,329.99
256,8,CHUANCHI,1138.9
128,8,Pipo,318.74
256,8,Pipo,359.99
128,8,CHUANCHI,414
1024,8,AKPAD,363.585
1024,8,Hasee,362.79
256,8,BSLAY,359.99
1024,8,CARBAYTA,364.095
128,8,BSLAY,304.69
128,8,KUU,349.89
256,8,XIDU,381.64
1024,8,XIDU,363.54
128,8,CHUANCHI,271.71
256,8,XIDU,379.26
128,8,Pipo,255.89
512,16,Pipo,590.39
256,8,CHUANCHI,510
128,8,Voyo,270.465
256,8,Xiaomi,511.34
512,8,Teclast,319.99
1024,8,Voyo,628.84
512,8,BSLAY,1014
512,16,Hasee,1484
256,8,AKPAD,364.99
256,8,GMOLO,401.8
256,8,Voyo,329.99
256,8,Pipo,349.99
256,8,XIDU,1138.9
128,8,XIDU,318.74
256,8,XIDU,359.99
128,8,AKPAD,414
1024,8,CHUANCHI,363.585
1024,8,DeeQ,362.79
256,8,Voyo,359.99
1024,8,Xiaomi,364.095
128,8,Teclast,304.69
128,8,AKPAD,305.69
256,8,XIDU,530.75
128,8,CHUANCHI,355.34
256,8,Teclast,450.68
256,8,Pipo,335.49
256,8,Pipo,365.38
256,8,XIDU,370.79
256,8,XIDU,335.49
1024,8,Teclast,407.99
1024,8,KUU,346.285
128,8,AOTESIER,305.69
256,8,MACHENIKE,530.75
128,8,Xiaomi,355.34
256,8,Xiaomi,450.68
256,8,GMOLO,335.49
256,8,QMDZ,365.38
256,8,Teclast,370.79
256,8,Pipo,335.49
1024,8,Pipo,407.99
1024,8,MaiBenBen,346.285
64,4,Xiaomi,220.12
256,8,XIDU,385.92
128,8,Xiaomi,307.94
512,8,Huawei,359.99
512,16,BMAX,820.99
128,8,Voyo,318.74
1024,12,BMAX,381.185
64,4,Jumper,271.84
512,8,XIDU,236.045
1024,8,CARBAYTA,361.555
64,8,Pipo,228.24
128,8,GMOLO,305.69
256,8,ALLDOCUBE,530.75
128,8,Lenovo,355.34
256,8,AKPAD,450.68
256,8,Xiaomi,335.49
256,8,one netbook,365.38
256,8,MaiBenBen,370.79
256,8,Voyo,335.49
1024,8,MOUGOL,407.99
1024,8,Xiaomi,346.285
64,4,GPD,220.12
256,8,Hasee,385.92
128,8,Pipo,307.94
512,8,one GX,359.99
512,16,Lenovo,820.99
128,8,XIDU,318.74
1024,12,Voyo,381.185
64,4,Xiaomi,271.84
512,8,MaiBenBen,236.045
1024,8,Lenovo,361.555
64,8,Xiaomi,228.24
128,8,Xiaomi,305.69
256,8,Lenovo,530.75
128,8,Pipo,355.34
256,8,Xiaomi,450.68
256,8,XIDU,335.49
256,8,Xiaomi,365.38
256,8,Xiaomi,370.79
256,8,Xiaomi,335.49
1024,8,MOUGOL,407.99
1024,8,Xiaomi,346.285
64,4,Xiaomi,220.12
256,8,Lenovo,385.92
128,8,Xiaomi,307.94
512,8,MACHENIKE,359.99
512,16,Teclast,820.99
128,8,Xiaomi,318.74
1024,12,MaiBenBen,381.185
64,4,Huawei,271.84
512,8,Lenovo,236.045
1024,8,GMOLO,361.555
64,8,Huawei,228.24
128,8,Xiaomi,305.69
256,8,kingdel,530.75
128,8,IPASON,355.34
256,8,Huawei,450.68
256,8,Xiaomi,335.49
256,8,Huawei,365.38
256,8,Huawei,370.79
256,8,Xiaomi,335.49
1024,8,Xiaomi,407.99
1024,8,Xiaomi,346.285
64,4,GMOLO,220.12
256,8,Xiaomi,385.92
128,8,Xiaomi,307.94
512,8,Voyo,359.99
512,16,Xiaomi,820.99
128,8,Xiaomi,318.74
1024,12,Huawei,381.185
64,4,Xiaomi,271.84
512,8,Xiaomi,236.045
1024,8,Xiaomi,361.555
64,8,Xiaomi,228.24
128,8,Xiaomi,305.69
256,8,AOTESIER,530.75
128,8,AOTESIER,355.34
256,8,CARBAYTA,450.68
256,8,Huawei,335.49
256,8,AOTESIER,365.38
256,8,AOTESIER,370.79
256,8,AOTESIER,335.49
1024,8,AOTESIER,407.99
1024,8,DeeQ,346.285
64,4,Voyo,220.12
256,8,AOTESIER,385.92
128,8,BOBARRY,307.94
512,8,AOTESIER,359.99
512,16,CARBAYTA,820.99
128,8,XIDU,318.74
1024,12,Voyo,381.185
64,4,AOTESIER,271.84
512,8,AOTESIER,236.045
1024,8,AOTESIER,361.555
64,8,AOTESIER,228.24
128,8,CHUANCHI,280.58
512,8,AOTESIER,310.85
1024,8,AOTESIER,406.99
256,8,AOTESIER,278.49
256,8,CHUANCHI,369.16
256,8,XIDU,359.565
128,8,Xiaomi,384.92
256,8,CHUANCHI,367.84
1024,12,Pipo,378.04
128,8,AOTESIER,292.045
1024,8,AOTESIER,405.92
240,8,AOTESIER,343
128,8,AOTESIER,280.58
512,8,AOTESIER,310.85
1024,8,AOTESIER,406.99
256,8,Lenovo,278.49
256,8,molosuper,369.16
256,8,DeeQ,359.565
128,8,GMOLO,384.92
256,8,AOTESIER,367.84
1024,12,Pipo,378.04
128,8,AOTESIER,292.045
256,8,AOTESIER,980
1024,8,AOTESIER,405.92
240,8,AOTESIER,343
256,8,AOTESIER,358.54
128,8,AOTESIER,501.72
512,2,AOTESIER,761.6
512,8,AOTESIER,825.38
1024,8,KUU,302.32
128,12,Lenovo,276.195
64,4,KUU,227.835
128,6,Pipo,293.82
1024,16,Pipo,581.88
128,16,AOTESIER,491.525
32,2,AOTESIER,239
128,8,AOTESIER,280.58
512,8,AOTESIER,310.85
1024,8,AOTESIER,406.99
256,8,AOTESIER,278.49
256,8,Lenovo,369.16
256,8,Xiaomi,359.565
128,8,AOTESIER,384.92
256,8,SIHAWO,367.84
1024,12,BMAX,378.04
128,8,BSLAY,292.045
256,8,Teclast,980
1024,8,Teclast,405.92
240,8,BSLAY,343
256,8,IPASON,358.54
128,8,KUU,501.72
512,2,CARBAYTA,761.6
512,8,MaiBenBen,825.38
1024,8,KUU,302.32
128,12,BSLAY,276.195
64,4,Teclast,227.835
128,6,Pipo,293.82
1024,16,CHUANCHI,581.88
128,16,DeeQ,491.525
32,2,BSLAY,239
128,8,KUU,280.58
512,8,XIDU,310.85
1024,8,XIDU,406.99
256,8,Pipo,278.49
256,8,XIDU,369.16
256,8,CHUANCHI,359.565
128,8,Pipo,384.92
256,8,Pipo,367.84
1024,12,CHUANCHI,378.04
128,8,AKPAD,292.045
256,8,Hasee,980
1024,8,BSLAY,405.92
240,8,CARBAYTA,343
256,8,BSLAY,358.54
128,8,KUU,501.72
512,2,XIDU,761.6
512,8,XIDU,825.38
1024,8,CHUANCHI,302.32
128,12,XIDU,276.195
64,4,Pipo,227.835
128,6,Pipo,293.82
1024,16,CHUANCHI,581.88
128,16,Voyo,491.525
32,2,Xiaomi,239
128,8,Teclast,280.58
512,8,Voyo,310.85
1024,8,BSLAY,406.99
256,8,Hasee,278.49
256,8,AKPAD,369.16
256,8,GMOLO,359.565
128,8,Voyo,384.92
256,8,Pipo,367.84
1024,12,XIDU,378.04
128,8,XIDU,292.045
256,8,XIDU,980
1024,8,AKPAD,405.92
240,8,CHUANCHI,343
256,8,DeeQ,358.54
128,8,Voyo,501.72
512,2,Xiaomi,761.6
512,8,Teclast,825.38
1024,8,AKPAD,302.32
128,12,XIDU,276.195
64,4,CHUANCHI,227.835
128,6,Teclast,293.82
1024,16,Pipo,581.88
128,16,Pipo,491.525
32,2,XIDU,239
128,8,XIDU,280.58
512,8,Teclast,310.85
1024,8,KUU,406.99
256,8,AOTESIER,278.49
256,8,MACHENIKE,369.16
256,8,Xiaomi,359.565
128,8,Xiaomi,384.92
256,8,GMOLO,367.84
1024,12,QMDZ,378.04
128,8,Teclast,292.045
256,8,Pipo,980
1024,8,Pipo,405.92
240,8,MaiBenBen,343
256,8,Xiaomi,358.54
128,8,XIDU,501.72
512,2,Xiaomi,761.6
512,8,Huawei,825.38
1024,8,BMAX,302.32
128,12,Voyo,276.195
64,4,BMAX,227.835
128,6,Jumper,293.82
1024,16,XIDU,581.88
128,16,CARBAYTA,491.525
32,2,Pipo,239
512,8,GMOLO,277.075
512,16,ALLDOCUBE,852.685
1024,8,Lenovo,629.84
64,4,AKPAD,242.55
64,12,Xiaomi,320.62
512,8,one netbook,314
512,16,MaiBenBen,767.99
128,4,Voyo,299.99
512,16,MOUGOL,1154.66
512,8,Xiaomi,277.075
512,16,GPD,852.685
1024,8,Hasee,629.84
64,4,Pipo,242.55
64,12,one GX,320.62
512,8,Lenovo,314
512,16,XIDU,767.99
128,4,Voyo,299.99
512,16,Xiaomi,1154.66
128,8,MaiBenBen,314.18
128,8,Lenovo,265.39
128,8,Xiaomi,305.25
64,8,Xiaomi,464.51
512,8,Lenovo,214.19
512,8,Pipo,367.99
128,6,Xiaomi,293.82
256,8,XIDU,359.565
512,8,Xiaomi,300.56
1024,12,Xiaomi,382.235
128,8,Xiaomi,297.565
512,16,MOUGOL,572.03
512,8,Xiaomi,277.075
512,16,Xiaomi,852.685
1024,8,Lenovo,629.84
64,4,Xiaomi,242.55
64,12,MACHENIKE,320.62
512,16,Teclast,767.99
128,4,Xiaomi,299.99
512,16,MaiBenBen,1154.66
128,8,Huawei,314.18
128,8,Lenovo,265.39
128,8,GMOLO,305.25
64,8,Huawei,464.51
512,8,Xiaomi,214.19
512,8,kingdel,367.99
128,6,IPASON,293.82
256,8,Huawei,359.565
1024,12,Xiaomi,382.235
128,8,Huawei,297.565
512,16,Huawei,572.03
512,8,Xiaomi,277.075
512,16,Xiaomi,852.685
1024,8,Xiaomi,629.84
64,4,GMOLO,242.55
64,12,Xiaomi,320.62
512,8,Xiaomi,308.795
512,16,Voyo,767.99
128,4,Xiaomi,299.99
512,16,Xiaomi,1154.66
128,8,Huawei,314.18
128,8,Xiaomi,265.39
128,8,Xiaomi,305.25
64,8,Xiaomi,464.51
512,8,Xiaomi,214.19
512,8,Xiaomi,367.99
128,6,AOTESIER,293.82
256,8,AOTESIER,359.565
512,8,CARBAYTA,300.56
1024,12,Huawei,382.235
128,8,AOTESIER,297.565
512,16,AOTESIER,572.03
512,8,AOTESIER,277.075
512,16,AOTESIER,852.685
1024,8,DeeQ,629.84
64,4,Voyo,242.55
64,12,AOTESIER,320.62
512,8,BOBARRY,314
512,8,AOTESIER,308.795
512,16,CARBAYTA,767.99
128,4,XIDU,299.99
512,16,Voyo,1154.66
128,8,AOTESIER,314.18
128,8,AOTESIER,265.39
128,8,AOTESIER,305.25
64,8,AOTESIER,464.51
512,8,CHUANCHI,214.19
512,8,AOTESIER,367.99
128,6,AOTESIER,293.82
256,8,AOTESIER,359.565
512,8,CHUANCHI,300.56
1024,12,XIDU,382.235
128,8,Xiaomi,297.565
512,16,CHUANCHI,572.03
512,8,Pipo,277.075
512,16,AOTESIER,852.685
1024,8,AOTESIER,629.84
64,4,AOTESIER,242.55
64,12,AOTESIER,320.62
512,16,AOTESIER,767.99
128,4,AOTESIER,299.99
512,16,Lenovo,1154.66
128,8,molosuper,314.18
128,8,DeeQ,265.39
128,8,GMOLO,305.25
64,8,AOTESIER,464.51
512,8,Pipo,214.19
512,8,AOTESIER,367.99
128,6,AOTESIER,293.82
256,8,AOTESIER,359.565
512,8,AOTESIER,300.56
1024,12,AOTESIER,382.235
128,8,AOTESIER,297.565
512,16,AOTESIER,572.03
512,16,AOTESIER,1130.74
1024,8,KUU,597.055
256,8,Lenovo,279.14
240,8,KUU,725.5
128,8,Pipo,216.19
256,8,Pipo,666.99
128,8,AOTESIER,368
256,8,AOTESIER,540
128,12,AOTESIER,240.86
512,8,AOTESIER,320.96
128,6,AOTESIER,290.5
128,6,AOTESIER,259.99
512,16,Lenovo,1130.74
1024,8,Xiaomi,597.055
256,8,AOTESIER,279.14
240,8,SIHAWO,725.5
128,8,BMAX,216.19
256,8,BSLAY,666.99
128,8,Teclast,368
256,8,Teclast,540
128,12,BSLAY,240.86
512,8,IPASON,320.96
128,6,KUU,290.5
128,6,CARBAYTA,259.99
128,6,MaiBenBen,300.055
128,8,KUU,309.16
256,8,BSLAY,399.99
500,8,Teclast,419
64,8,Pipo,350.095
512,8,CHUANCHI,267.625
512,2,DeeQ,393.775
512,16,BSLAY,764.49
128,6,KUU,299.77
512,16,XIDU,1130.74
1024,8,XIDU,597.055
256,8,Pipo,279.14
240,8,XIDU,725.5
128,8,CHUANCHI,216.19
256,8,Pipo,666.99
128,8,Pipo,368
256,8,CHUANCHI,540
128,12,AKPAD,240.86
512,8,Hasee,320.96
128,6,BSLAY,290.5
128,6,CARBAYTA,259.99
256,8,BSLAY,375.7
128,6,KUU,300.055
128,8,XIDU,309.16
256,8,XIDU,399.99
500,8,CHUANCHI,419
64,8,XIDU,350.095
512,8,Pipo,267.625
512,2,Pipo,393.775
512,16,CHUANCHI,764.49
128,6,Voyo,299.77
512,16,Xiaomi,1130.74
1024,8,Teclast,597.055
256,8,Voyo,279.14
240,8,BSLAY,725.5
128,8,Hasee,216.19
256,8,AKPAD,666.99
128,8,GMOLO,368
256,8,Voyo,540
128,12,Pipo,240.86
512,8,XIDU,320.96
128,6,XIDU,290.5
128,6,XIDU,259.99
256,8,AKPAD,375.7
128,6,CHUANCHI,300.055
256,8,DeeQ,399.99
64,8,Voyo,350.095
512,8,Xiaomi,267.625
512,2,Teclast,393.775
512,16,AKPAD,764.49
128,6,XIDU,299.77
512,16,CHUANCHI,1130.74
1024,8,Teclast,597.055
256,8,Pipo,279.14
240,8,Pipo,725.5
128,8,XIDU,216.19
256,8,XIDU,666.99
128,8,Teclast,368
256,8,KUU,540
128,12,AOTESIER,240.86
512,8,MACHENIKE,320.96
128,6,Xiaomi,290.5
128,6,Xiaomi,259.99
256,8,GMOLO,375.7
128,6,QMDZ,300.055
128,8,Teclast,309.16
256,8,Pipo,399.99
500,8,Pipo,419
64,8,MaiBenBen,350.095
512,8,Xiaomi,267.625
512,2,XIDU,393.775
512,16,Xiaomi,764.49
128,6,Huawei,299.77
512,16,BMAX,1130.74
1024,8,Voyo,597.055
256,8,BMAX,279.14
240,8,Jumper,725.5
128,8,XIDU,216.19
256,8,CARBAYTA,666.99
128,8,Pipo,368
256,8,GMOLO,540
512,8,ALLDOCUBE,320.96
128,6,Lenovo,290.5
128,6,AKPAD,259.99
256,8,Xiaomi,375.7
128,6,one netbook,300.055
128,8,MaiBenBen,309.16
500,8,Voyo,419
64,8,MOUGOL,350.095
512,8,Xiaomi,267.625
512,2,GPD,393.775
512,16,Hasee,764.49
128,6,Pipo,299.77
128,8,Teclast,349.89
256,8,Xiaomi,396.35
128,8,MaiBenBen,298.19
256,8,Huawei,359.99
128,8,Lenovo,313.365
1024,8,GMOLO,302.32
128,8,Huawei,277.96
1024,8,Xiaomi,548.785
128,8,kingdel,298.19
128,8,IPASON,349.89
256,8,Huawei,381.64
1024,8,Xiaomi,363.54
128,8,Huawei,271.71
256,8,Huawei,379.26
128,8,Xiaomi,255.89
128,12,AKPAD,240.86
512,8,Hasee,320.96
128,6,BSLAY,290.5
128,6,CARBAYTA,259.99
256,8,BSLAY,375.7
